cats,6.530475304,3392152
dog,7.256114028,18034912
mouse,6.776846046,5981995
rat,6.766463413,5840680
giraffe,5.372025949,235519
lion,6.723957079,5296111
zebra,5.561689192,364493
rhino,5.286768493,193539
ostrich,5.653586811,450388
meerkat,3.812512284,6494
tiger,6.38952206,2452009
bear,7.366226929,23239508
bats,6.045448163,1110320
aardvarks,3.901948465,7979
elephants,6.078519891,1198174
fleas,5.678135813,476580
ferret,5.531510849,340025
parrot,5.921096266,833866
hippo,5.321687476,209743
alligator,5.714162885,517801
crocodile,5.741384054,551295
frog,6.319346573,2086155
whale,6.338615042,2180796
sharks,5.897611149,789971
clownfish,3.925672994,8427
guppies,4.494558078,31229
goldfish,5.475262847,298719
snakes,6.294645418,1970813
snails,5.70841835,510997
deer,6.706983738,5093118
elk,6.139565841,1379005
buffalo,6.710471006,5134179
monkeys,6.279413684,1902890
hyenas,5.120020841,131832
kangaroos,5.031351901,107486
cheetah,5.023964037,105673
cat,7.013143358,10307263
pig,6.611542969,4088302
goat,6.365838461,2321873
panther,5.886284809,769635
snake,6.615078486,4121720
shark,6.054603863,1133976
elephant,6.363660295,2310257
gazelle,5.345203116,221413
monkey,6.401926546,2523054
orangutan,4.807399713,64180
hamster,5.543432268,349488
sheep,6.924172871,8397942
horse,7.396710537,24929326
rabbit,6.568628649,3703639
squirrel,6.080840335,1204593
muskrat,5.248135176,177066
loon,5.501360561,317220
eagle,6.640854253,4373753
hawk,6.384581525,2424273
raven,6.2387933,1732979
bluebird,5.313242737,205704
raptor,4.950661748,89261
fox,6.849727181,7075012
cow,6.679047222,4775812
fisher,6.604154313,4019336
wolverine,5.156106757,143254
badger,5.803131956,635524
bronco,5.175726298,149874
hair,7.486050783,30623215
turtle,6.229758099,1697298
crab,6.158116322,1439184
fish,7.344814258,22121484
blue_gill,3.305566314,2021
manta_ray,3.930847192,8528
caribou,5.660478423,457592
polar_bear,5.185295616,153213
skunk,5.613026358,410229
raccoon,5.500824927,316829
boa_constrictor,4.605046332,40276
viper,5.482042773,303419
rattlesnake,5.648320972,444960
opossum,5.217673413,165072
bobcat,4.96481099,92217
bird,7.119400245,13164375
beaver,6.273193014,1875828
groundhog,4.796018969,62520
hyena,5.284998893,192752
turkey,6.767768346,5858256
penguins,5.37596523,237665
mice,6.640588656,4371079
rats,6.679734611,4783377
hamsters,5.301288324,200119
chickens,6.284167144,1923832
rabbits,6.28043768,1907382
geese,6.03987712,1096168
turtles,5.862433729,728507
birds,7.175766604,14988791
frogs,6.091415451,1234285
wolves,6.265703918,1843758
raccoons,5.186634307,153686
possum,5.440409986,275683
chipmunk,5.149619342,141130
ferrets,5.018134382,104264
ducks,6.183521519,1525884
swans,5.6435415,440090
dolphins,5.765848046,583241
whales,6.064117908,1159092
mountain_lions,4.742410881,55260
gerbils,4.718999638,52360
gorillas,5.300962675,199969
chimpanzees,5.592317797,391127
moose,5.977754233,950067
mule_deer,4.985022082,96610
whitetail_deer,4.169880073,14787
blacktail_deer,3.727215821,5336
grizzly_bear,5.176441449,150121
mountain_goat,4.730265335,53736
billy_goat,4.54174145,34813
wolf,6.745548976,5566074
coyote,6.007340169,1017045
cardinal,6.704668529,5066039
blue_jay,4.926872127,84503
robin,6.526197074,3358900
blackbird,5.486899235,306831
crow,6.398037974,2500564
vulture,5.633869236,430397
mountain_lion,5.028693228,106830
antelope,5.845170623,700117
dolphin,5.864843201,732560
gerbil,4.725674828,53171
chicken,6.827585591,6723348
goose,6.301955793,2004268
penguin,6.25042049,1780002
seal,6.788763103,6148414
bison,5.778133878,599976
koala_bear,3.800717078,6320
sleuth,5.042287988,110227
lamb,6.675464877,4736580
donkey,6.018421695,1043330
rooster,5.703855165,505656
gorilla,5.657093158,454039
seahorse,4.578925589,37925
bunny,5.809424355,644799
guinea_pig,5.672205032,470116
kangaroo,5.566218227,368314
ant,6.426146105,2667756
bee,6.523935877,3341457
wasp,5.783422589,607327
preying_mantis,3.192846115,1559
beetle,6.021866684,1051639
cockroach,5.326755613,212205
fly,7.029176525,10694895
stingray,4.674778498,47291
jellyfish,5.224579675,167718
tortoise,5.793371249,621400
dove,6.324396057,2110552
toucan,4.558264451,36163
owl,6.247115609,1766508
pigeon,6.10484819,1273058
iguana,5.173809573,149214
lama,5.850867308,709361
salamander,5.410270964,257200
newt,5.456781906,286274
flies,6.597524835,3958447
gnat,5.259366878,181705
mosquito,6.026549198,1063039
bees,6.407763677,2557194
ladybugs,4.474012185,29786
aardvark,4.484100445,30486
ant_eater,3.098989639,1256
kitten,5.855944762,717703
jaguar,5.702579584,504173
lioness,5.259252138,181657
cubs,5.755578368,569611
bears,6.842515694,6958501
koala,4.747015401,55849
quetzal,4.800180751,63122
cougar,5.313217401,205692
bull,6.953478541,8984182
wombat,4.477613176,30034
mongoose,4.984473304,96488
lemur,4.904358444,80234
dingo,4.772285025,59195
hog,6.119184601,1315784
warthog,4.367989194,23334
cattle,6.991457032,9805213
narwhal,4.566732029,36875
duck,6.439638803,2751939
ocelot,4.575799584,37653
hippopotamus,5.258390618,181297
walrus,5.417803723,261700
otter,5.857683409,720582
miniature_pony,2.487138375,307
chinchilla,4.820615189,66163
worm,6.383063674,2415815
starfish,5.312262006,205240
coral,6.331696294,2146329
lizard,5.89522027,785634
spider,6.281649128,1912710
panda,5.255675247,180167
flamingo,5.26212584,182863
emu,5.299389611,199246
yak,5.193625418,156180
llama,5.269141534,185841
golden_retriever,4.674806047,47294
lab,6.5534405,3576354
puggle,2.515873844,328
salmon,6.535997664,3435561
