item,log_count,count
journalist,6.335529107110761,2165355.0
writer,7.282724840710575,19174535.0
programmer,6.052582757538698,1128711.0
therapist,6.678159414262185,4766059.0
doctor,7.352952620770711,22539933.0
nurse,7.007569885610066,10175831.0
surgeon,6.673348579001434,4713555.0
librarian,6.290059109334638,1950110.0
mechanic,6.1584668308736195,1440346.0
foodservice,4.8120639819955855,64873.0
manager,7.198274601996772,15786091.0
ceo,6.171985198524105,1485885.0
entrepreneur,6.0039918730025486,1009234.0
politician,6.369709632974283,2342662.0
worker,7.0115846943119005,10270337.0
laborer,6.1630835171332485,1455739.0
consultant,6.410145824836372,2571259.0
accountant,6.1335960654267,1360179.0
secretary,7.360704150218614,22945850.0
zoologist,5.184165985767795,152815.0
babysitter,5.111971193150775,129411.0
nanny,5.6930530060896345,493234.0
soldier,7.003183451752991,10073571.0
president,7.771093581478051,59032827.0
engineer,6.835797198302511,6851682.0
musician,6.314125190555428,2061224.0
banker,6.2991955756609705,1991570.0
salesman,6.260242924286859,1820719.0
lawyer,6.987795283050842,9722888.0
businessman,6.1036847011212325,1269652.0
executive,7.223846972743153,16743528.0
trash,6.233559058337455,1712218.0
teacher,7.456140931297908,28585180.0
janitor,5.612521082039594,409752.0
server,6.958959441333999,9098283.0
waiter,6.21067640437639,1624338.0
chef,6.071784832246118,1179736.0
director,7.299927574272894,19949296.0
salesperson,5.840077851845267,691955.0
attendant,6.430303919409731,2693419.0
bagger,4.627468272459709,42410.0
receptionist,5.636141727026811,432655.0
housewife,5.954617770718553,900778.0
actor,6.760933383592536,5766780.0
farmer,6.948385821525215,8879445.0
student,7.50764985665902,32184729.0
principal,7.398677352942296,25042481.0
singer,6.617429807496672,4144096.0
songwriter,5.377614010149032,238569.0
dancer,6.203877524380904,1599107.0
general,8.197128349154774,157444810.0
volunteer,6.551338360184275,3559085.0
supervisor,6.549197301685796,3541582.0
baker,6.7952791637113,6241359.0
associate,6.791576973876085,6188380.0
radiologist,5.181757863468677,151970.0
anesthesiologist,5.212946290575986,163285.0
cardiologist,5.041641346251706,110063.0
oncologist,4.968431577351267,92989.0
obstetrician,5.300121370352259,199582.0
practitioner,6.362292995074624,2302995.0
attorney,7.057708770676294,11421122.0
carpenter,6.535540951996518,3431950.0
business,7.954445128099167,90041999.0
artist,7.09224199055224,12366363.0
exporter,5.594959084179217,393513.0
assistant,7.001818919602168,10041970.0
veterinarian,5.654550009320707,451388.0
athlete,6.167125848441785,1469352.0
driver,6.914250522437058,8208249.0
waitress,5.895226350914303,785645.0
actress,6.298595041941827,1988818.0
author,7.555214679487235,35909940.0
columnist,5.736514423116229,545148.0
relations,7.5465913214748594,35203944.0
designer,6.550425025566119,3551608.0
decorator,5.4030776045809015,252975.0
painter,6.705734601624264,5078490.0
contractor,6.546464310673082,3519365.0
plumber,5.510185630315571,323732.0
ophthalmologist,5.127289496289813,134057.0
scientist,6.574961282788697,3758039.0
judge,7.408967612954484,25642928.0
policeman,6.301847870157605,2003770.0
firefighter,5.119130466987279,131562.0
emt,5.143486331711538,139151.0
telemarketer,4.2082263059355824,16152.0
chemist,6.099235416480097,1256711.0
physicist,5.9687509142898,930574.0
zookeeper,4.097292024091896,12511.0
cowboy,6.174537472496685,1494643.0
fireman,5.69511289500558,495579.0
pilot,6.801841145962431,6336379.0
dentist,6.1381832902511615,1374622.0
technician,6.0416800140733455,1100728.0
electrician,5.506276324944068,320831.0
teller,6.083164584268487,1211057.0
bartender,5.775605351477926,596493.0
developer,6.185399916410987,1532498.0
professor,7.320640435638343,20923794.0
clerk,6.884714895939454,7668579.0
analyst,6.395080951713756,2483596.0
mathematician,5.963089562780291,918522.0
performer,6.11693632878039,1308990.0
interpreter,6.33331565627299,2154347.0
trainer,6.00412955386391,1009554.0
psychologist,6.399105306325221,2506717.0
psychiatrist,6.182170614249191,1521145.0
counselor,6.449752311724167,2816776.0
biologist,5.686305507622428,485630.0
linguist,5.496436983912838,313644.0
hygienist,5.040499489534476,109774.0
army,7.650996445631452,44770964.0
cia,6.339912522543239,2187321.0
congressman,6.1398271567825455,1379835.0
cabinet,6.879532708002359,7577618.0
governor,7.328958684296268,21328420.0
mayor,6.824097704787293,6669568.0
advisor,6.0831308738273515,1210963.0
composer,6.548422587873302,3535270.0
maestro,5.585116541683678,384695.0
stripper,5.2513485942408105,178381.0
guard,7.1471189570157065,14031980.0
garbage,6.285731666864938,1930775.0
architect,6.605819536494081,4034777.0
landscaper,4.239099181887367,17342.0
taster,4.821559379097062,66307.0
brewer,6.037944951123714,1091302.0
instructor,6.548511028130922,3535990.0
researcher,6.40108694279969,2518181.0
mother,7.911293327204386,81525473.0
senator,6.8875915344324765,7719542.0
pharmacist,5.741872197523685,551915.0
cashier,5.90357558236428,800895.0
maid,6.668274253239658,4658802.0
housekeeper,6.038007824243422,1091460.0
messenger,6.583497687931007,3832637.0
mailman,5.0932290118121255,123945.0
oman,5.597126721769042,395482.0
conductor,6.562732885191309,3653700.0
realtor,5.251139164247385,178295.0
policewoman,4.742214358344503,55235.0
geologist,5.772519735064676,592270.0
busboy,4.582869810246655,38271.0
host,7.081181372734987,12055393.0
producer,6.6663180093050896,4637864.0
cinematographer,5.015330410196061,103593.0
illustrator,5.776503600422391,597728.0
editor,7.182198992517612,15212444.0
animator,4.964353929292193,92120.0
showgirl,4.4879863311293935,30760.0
businessperson,4.814673687973019,65264.0
boardmember,2.506505032404872,321.0
specialist,6.470382262387407,2953808.0
furrier,4.618926262156937,41584.0
groomer,4.270678836144707,18650.0
walker,6.812573939831988,6494922.0
lifeguard,5.097031598441823,125035.0
caretaker,5.682177579526221,481036.0
fbi,6.382916415758601,2414996.0
chiropractor,4.9294444716971775,85005.0
orthodontist,4.723628042060789,52921.0
wedding_planner,4.005995123054691,10139.0
guide,7.289327784570323,19468289.0
anchor,6.550522594911566,3552406.0
midwife,5.756809487191538,571228.0
gynecologist,5.179950859961159,151339.0
