Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
648778c4a9a5ad8999821693,5a8d7c840f1bce0001226cbb,APPROVED,2023-06-12T19:57:59.874000Z,2023-06-12T20:33:12.403000Z,2023-06-12T20:33:12.949000Z,2023-06-12T20:33:12.827715Z,2113.0,CQEHJXIE,517,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648778c9de7327d62ce33bf2,646d146529b02c8baf05bad4,APPROVED,2023-06-12T19:58:11.367000Z,2023-06-12T21:06:08.612000Z,2023-06-12T21:06:09.280000Z,2023-06-12T21:06:09.158715Z,4078.0,CQEHJXIE,2,33,Male,White,United Kingdom,Germany,United Kingdom,English,No,DATA_EXPIRED
648778d27a8cf65ead0c320f,62791bdbaac1e1335af77471,APPROVED,2023-06-12T19:58:26.743000Z,2023-06-12T20:48:41.246000Z,2023-06-12T20:48:50.547000Z,2023-06-12T20:48:58.761258Z,3015.0,CQEHJXIE,23,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648779b65c768c7cd740eba2,6400d8df33b82dbb99eafcf7,APPROVED,2023-06-12T20:02:02.322000Z,2023-06-12T20:50:44.431000Z,2023-06-13T21:09:11.636000Z,2023-06-12T20:50:44.903707Z,2923.0,NOCODE,4,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64877fede9bbb61d140534ff,60aac2137954982efe1026c0,APPROVED,2023-06-12T20:28:29.234000Z,2023-06-12T21:16:18.866000Z,2023-06-12T21:16:19.507000Z,2023-06-12T21:16:19.399430Z,2870.0,CQEHJXIE,132,29,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
648e23251c007e8e1783e78c,6442dfb884be61d1f9b0b928,APPROVED,2023-06-17T21:18:32.835000Z,2023-06-17T21:51:05.434000Z,2023-06-17T21:51:06.324000Z,2023-06-17T21:51:06.231672Z,1953.0,CQEHJXIE,15,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648e236d17c29ae5ca08321c,5c5a060fcb75f20001e60f78,APPROVED,2023-06-17T21:19:48.481000Z,2023-06-17T22:04:44.069000Z,2023-06-17T22:04:44.582000Z,2023-06-17T22:04:44.506997Z,2696.0,CQEHJXIE,294,28,Male,Black,Ethiopia,Canada,Canada,English,Yes,Other
648e2687e37c1d02a4c50eb6,6401e00e5624fe9083182885,APPROVED,2023-06-17T21:32:59.434000Z,2023-06-17T22:08:29.777000Z,2023-06-17T22:08:30.363000Z,2023-06-17T22:08:30.283839Z,2131.0,CQEHJXIE,101,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648e26960f81f93497d1bc96,5dbafd726775fe0f7de4e5f9,APPROVED,2023-06-17T21:33:12.819000Z,2023-06-17T22:24:43.859000Z,2023-06-17T22:24:44.474000Z,2023-06-17T22:24:44.393515Z,3092.0,CQEHJXIE,585,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
648e26c632eb0b1abc745992,6395788caadd80374487d2fb,APPROVED,2023-06-17T21:34:43.281000Z,2023-06-17T22:01:53.887000Z,2023-06-17T22:01:54.479000Z,2023-06-17T22:01:54.388776Z,1631.0,CQEHJXIE,100,35,Male,White,Australia,Australia,Australia,English,No,DATA_EXPIRED
