"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","checked_words","list_number"
50004,"occupations",1,"teacher",2.844,2.844,2,"LEA","teacher",8
50004,"occupations",2,"excavator",4.544,1.7,1,"LEA","excavator",8
50004,"occupations",3,"doctor",6.844,2.3,1,"LEA","doctor",8
50004,"occupations",4,"soldier",12.144,5.3,1,"LEA","soldier",8
50004,"occupations",5,"librarian",13.844,1.7,1,"LEA","librarian",8
50004,"occupations",6,"curator",15.344,1.5,0,"LEA","curator",8
50004,"occupations",7,"dentist",19.344,4,1,"LEA","dentist",8
50004,"occupations",8,"surgeon",22.044,2.7,0,"LEA","surgeon",8
50004,"occupations",9,"professor",25.844,3.8,0,"LEA","professor",8
50004,"occupations",10,"brick_layer",29.244,3.4,1,"LEA","brick layer",8
50004,"occupations",11,"businessman",38.544,9.3,1,"LEA","businessman",8
50004,"occupations",12,"executive",42.644,4.1,0,"LEA","executive",8
50004,"occupations",13,"president",46.144,3.5,0,"LEA","president",8
50004,"occupations",14,"senator",48.844,2.7,0,"LEA","senator",8
50004,"occupations",15,"singer",58.844,10,1,"LEA","singer",8
50004,"occupations",16,"actor",60.644,1.8,0,"LEA","actor",8
50004,"occupations",17,"director",63.544,2.9,0,"LEA","director",8
50004,"occupations",18,"set_dresser",66.844,3.3,0,"LEA","set dresser",8
50004,"occupations",19,"tailor",73.744,6.90000000000001,0,"LEA","tailor",8
50004,"occupations",20,"spy",75.744,2,0,"LEA","spy",8
50004,"occupations",21,"dancer",88.244,12.5,0,"LEA","dancer",8
50004,"occupations",22,"carpenter",91.544,3.3,1,"LEA","carpenter",8
50004,"occupations",23,"plumber",93.344,1.8,0,"LEA","plumber",8
50004,"occupations",24,"cabinet_maker",97.944,4.60000000000001,0,"LEA","cabinet maker",8
50004,"occupations",25,"designer",107.444,9.5,1,"LEA","designer",8
50004,"occupations",26,"model",110.044,2.59999999999999,0,"LEA","model",8
50004,"occupations",27,"marine_biologist",129.144,19.1,1,"LEA","marine biologist",8
50004,"occupations",28,"film_archivist",134.744,5.59999999999999,1,"LEA","film archivist",8
50004,"occupations",29,"private_manuscript_consultant",138.844,4.09999999999999,0,"LEA","private manuscript consultant",8
50004,"occupations",30,"locksmith",150.944,12.1,1,"LEA","locksmith",8
50004,"occupations",31,"farmer",158.044,7.10000000000002,1,"LEA","farmer",8
50004,"occupations",32,"antiques_dealer",164.244,6.19999999999999,0,"LEA","antiques dealer",8
50020,"occupations",1,"firefighter",4.421,4.421,2,"LEA","firefighter",8
50020,"occupations",2,"policeman",5.821,1.4,0,"LEA","policeman",8
50020,"occupations",3,"doctor",7.321,1.5,1,"LEA","doctor",8
50020,"occupations",4,"lawyer",9.021,1.7,0,"LEA","lawyer",8
50020,"occupations",5,"accountant",11.221,2.2,0,"LEA","accountant",8
50020,"occupations",6,"photographer",12.921,1.7,1,"LEA","photographer",8
50020,"occupations",7,"director",14.621,1.7,0,"LEA","director",8
50020,"occupations",8,"garbage_man",16.821,2.2,1,"LEA","garbage man",8
50020,"occupations",9,"office_worker",20.821,4,1,"LEA","office worker",8
50020,"occupations",10,"retail_worker",22.521,1.7,0,"LEA","retail worker",8
50020,"occupations",11,"manager",24.421,1.9,1,"LEA","manager",8
50020,"occupations",12,"gas_station_clerk",26.621,2.2,1,"LEA","gas station clerk",8
50020,"occupations",13,"zoologist",34.821,8.2,1,"LEA","zoologist",8
50020,"occupations",14,"biologist",36.921,2.1,0,"LEA","biologist",8
50020,"occupations",15,"cafeteria_worker",40.621,3.7,1,"LEA","cafeteria worker",8
50020,"occupations",16,"chef",42.721,2.09999999999999,0,"LEA","chef",8
50020,"occupations",17,"professional_athlete",48.921,6.2,1,"LEA","professional athlete",8
50020,"occupations",18,"coach",51.521,2.6,0,"LEA","coach",8
50020,"occupations",19,"teacher",56.321,4.8,1,"LEA","teacher",8
50020,"occupations",20,"counselor",58.821,2.5,1,"LEA","counselor",8
50020,"occupations",21,"director",63.821,5,1,"LEA","director",8
50020,"occupations",22,"receptionist",83.521,19.7,1,"LEA","receptionist",8
50020,"occupations",23,"dentist",85.521,2,1,"LEA","dentist",8
50020,"occupations",24,"orthodontist",86.721,1.2,0,"LEA","orthodontist",8
50020,"occupations",25,"fashion_designer",95.821,9.09999999999999,1,"LEA","fashion designer",8
